Latitude,Longitude,LatLong,Label,Date,Link,Place,Note1,Note2,Note3,Note4,Note5
44.017997,124.130629,"45° 34' 14"" N, 123° 57 44"" W",1,17-Jun,http://latitudes.bandcamp.com/track/45-34-14-n-123-57-44-w,A man sheltering from the wind in a leanto made from dritfwood,A man sheltering from the wind in a leanto made from dritfwood,"Five minutes after recording, we turned out of the parking lot into a hill and walked our bikes ",So this is how it begins,,
44.1185,123.3214,"44?.?1185° N, 123?.?3214° W",2,18-Jun,http://latitudes.bandcamp.com/track/441185-n-1233214-w,"The boat docks at Richardson Park Campground, Oregon ",A grandmother shepherding two children and gathering the third into her arms ,Flatbed pickup trucks and boats pulling into the harbor ,"Boating safety sign - ""don't go overboard with alcohol""",,
44.053734,123.063113,,3,19-Jun,https://latitudes.bandcamp.com/track/44-2-464496-n-123-1-193044-w,"On a bench overlooking the highway at a tackleshop in Springfield, OR",Two dogs on the floor and the sweet grainy smell of alfalfa,"And two iced coffees in the fridge, though this is, after all, a feed and tackle shop","Which we drink on a bench outside in the heat, watching logging trucks go by",,
44.260553,121.801236,,4,20-Jun,https://latitudes.bandcamp.com/track/44-15-35424-n-121-48-351792-w,"Pulled off at the Three Sisters Overlook on the McKenzie Pass, Oregon ","The peak ashen and burnt and raven filled, like some ungodly place",Just before hail so thick and fast it sounds symphonic ,"I thought I'd find you here, says the man whose house we'd slept in nights before, and who pulls up in a blue coupe on the side of the trail and says, I brought you each a sandwich",,
44.302534,120.857175,,5,21-Jun,https://latitudes.bandcamp.com/track/44-15-35424-n-121-48-351792-w-2,"Prineville Coffee Company, Prineville, OR ","Do you think people die on that pass, the barista says, when a biker pulls into the drive through and tells her he is crossing the country ",The embarrassing joy of ice and wifi,,,
44.436,120.3498,,6,22-Jun,https://latitudes.bandcamp.com/track/44-26-66588-n-120-20-84732-w,"Pulled off on the shoulder of the Old Ochoco Highway, OR ","Three barbed wire fences, two downed trees, 13 mles of uphill and downhill gravel, sapling pines, one farm, and an industrial sprinkler ",Don't trust the alternate routes on Maps.Me,,,
44.52748,119.633441,,7,23-Jun,https://latitudes.bandcamp.com/track/44-32-403908-n-119-37-550704-w,"The John Day Fossil Beds, OR ","Blazingly hot, despite the wind ",The wild exhilaration of twenty miles winding downhill,,,
44.420326,118.960503,,8,24-Jun,https://latitudes.bandcamp.com/track/44-24-575568-n-118-57-10836-w,"Outside the supermarket in John Day, OR ","A playlist that cycles, almost inevitably, through Benny and the Jets ","Sitting on the pavement in the heat, tying knots in cherry stems with our tongues",,,
44.463213,118.709948,,9,25-Jun,https://latitudes.bandcamp.com/track/44-27-475668-n-118-42-358128-w,"In a field in Prairie City, OR","Accompanied by a burly firefighter and his firefighter wife - we met in Minnesota, they say, and we return sometimes on fire details ",Though he tells us this while holding up a speaker in one hand and binoculars in the other ,"That's a bobolink, he says. A bobolink! ","Later we will stop by a neighbor's house to tell them about the bobolink. Is that a rare thing, says the friend.",
44.77551,117.831334,,10,26-Jun,https://latitudes.bandcamp.com/track/44-46-2955-n-117-50-3786-w,"At the Inland Cafe in Baker City, Oregon ","In a cafe next to a grandfather telling his grandson, you'll never grow if you don't eat more toast.",,,,
44.76899,117.167627,,11a,27-Jun,https://latitudes.bandcamp.com/track/44-46-858-n-117-10-66396-w,"At the Hitching Post supermarket in Richland, OR ",An old man with a shirt patterned with fish who pulls up in a pickup and exits pushing a shopping cart loaded with ice ,A boy on a bicycle doing tricks on the sidewalk,,,
44.835059,116.898642,,11b,27-Jun,https://latitudes.bandcamp.com/track/44-50-62124-n-116-53-551112-w,"On the banks of the Snake River by the Brownlee Dam, Idaho ","Two kids and their mother fly fishing, the lazy sound of the line hitting the waves","A man lying facedown in the back of his pickup truck, a towel over his head, blasting - Lady Gaga, Adele, and Let the Bodies Hit the Floor",The next day he will introduce himself to us as Rick. It's my birthday he says. Good day to fish for crappies.,,
